seed,candidate_id,source,candidate_kind,path,declared_label_idx,declared_label_name,visual_label_idx,visual_label_name,known_drift,label_source,generator_id,prompt,gate_mode,gate_decision,gate_reason,prototype_pred_idx,prototype_pred_name,prototype_confidence,prototype_distance,quality_mean,quality_std,external_gate_decision,external_filter_reason,metadata_json
0,7f341115d76053,procedural_proxy,useful,,0,red_square,0,red_square,0,direct_label_preservation,procedural_proxy_generator_v1,proxy candidate for red_square,prototype_gate,retain,retain,0,red_square,0.7045270768411647,35.57252532856964,0.16912785947712417,0.22336447387324324,,,"{""source_low_shot_index"": 0}"
0,dd49f2cde4daa7,procedural_proxy,label_drift,,0,red_square,4,purple_diamond,1,direct_label_preservation,procedural_proxy_generator_v1,proxy candidate for red_square,prototype_gate,reject,prototype_label_mismatch,4,purple_diamond,0.929733442075923,50.92824620297705,0.31196001838235293,0.2678438129098389,,,"{""source_low_shot_index"": 0}"
0,2019ded3c5b667,procedural_proxy,label_drift,,0,red_square,1,green_circle,1,direct_label_preservation,procedural_proxy_generator_v1,proxy candidate for red_square,prototype_gate,retain,retain,0,red_square,0.8736112382470144,46.64626822339822,0.27524765114379085,0.2429984751523022,,,"{""source_low_shot_index"": 0}"
0,748758f13ccbcb,procedural_proxy,useful,,0,red_square,0,red_square,0,direct_label_preservation,procedural_proxy_generator_v1,proxy candidate for red_square,prototype_gate,retain,retain,0,red_square,0.9973117397729173,19.90354516544062,0.19270705678104574,0.2419821190817703,,,"{""source_low_shot_index"": 0}"
0,04a2dffb8b966e,procedural_proxy,label_drift,,0,red_square,2,blue_x,1,direct_label_preservation,procedural_proxy_generator_v1,proxy candidate for red_square,prototype_gate,reject,low_confidence+prototype_label_mismatch,2,blue_x,0.3225704471249058,50.15002562410246,0.20574448529411762,0.2170907624681211,,,"{""source_low_shot_index"": 0}"
0,2bf248faf8aa27,procedural_proxy,label_drift,,0,red_square,3,yellow_triangle,1,direct_label_preservation,procedural_proxy_generator_v1,proxy candidate for red_square,prototype_gate,reject,prototype_label_mismatch,3,yellow_triangle,0.9652903978650652,29.448080988116786,0.2267846200980392,0.21296799908005654,,,"{""source_low_shot_index"": 0}"
0,a2f6ba24691989,procedural_proxy,useful,,0,red_square,0,red_square,0,direct_label_preservation,procedural_proxy_generator_v1,proxy candidate for red_square,prototype_gate,retain,retain,0,red_square,0.9908981655443405,38.920529017259206,0.2246923508986928,0.20443780646995535,,,"{""source_low_shot_index"": 0}"
0,df8c6b4342cd07,procedural_proxy,useful,,0,red_square,0,red_square,0,direct_label_preservation,procedural_proxy_generator_v1,proxy candidate for red_square,prototype_gate,retain,retain,0,red_square,0.8804020748788806,57.33987755751249,0.28343673406862746,0.17660149074828058,,,"{""source_low_shot_index"": 0}"
0,d198a271c43115,procedural_proxy,label_drift,,0,red_square,3,yellow_triangle,1,direct_label_preservation,procedural_proxy_generator_v1,proxy candidate for red_square,prototype_gate,reject,prototype_label_mismatch,3,yellow_triangle,0.8227023669448762,34.7794739984355,0.23906122344771244,0.24796412724356195,,,"{""source_low_shot_index"": 0}"
0,2bd8dadd93a05c,procedural_proxy,label_drift,,0,red_square,4,purple_diamond,1,direct_label_preservation,procedural_proxy_generator_v1,proxy candidate for red_square,prototype_gate,reject,prototype_label_mismatch,4,purple_diamond,0.9057341407871468,46.62635840385648,0.27466681985294117,0.2836547192197851,,,"{""source_low_shot_index"": 0}"
0,6ae86ba0bc9fee,procedural_proxy,useful,,0,red_square,0,red_square,0,direct_label_preservation,procedural_proxy_generator_v1,proxy candidate for red_square,prototype_gate,retain,retain,0,red_square,0.987567903545431,50.49150701117599,0.27785054125816994,0.24327184871081078,,,"{""source_low_shot_index"": 0}"
0,18f1e7796d694e,procedural_proxy,artifact,,0,red_square,0,red_square,1,direct_label_preservation,procedural_proxy_generator_v1,proxy candidate for red_square,prototype_gate,reject,low_confidence+far_from_real_prototype+prototype_label_mismatch,2,blue_x,0.4211256012204002,156.19600374118878,0.5750893586601308,0.3005470912294113,,,"{""source_low_shot_index"": 0}"
0,1974a358828e5e,procedural_proxy,artifact,,0,red_square,0,red_square,1,direct_label_preservation,procedural_proxy_generator_v1,proxy candidate for red_square,prototype_gate,reject,low_confidence+far_from_real_prototype+prototype_label_mismatch,2,blue_x,0.3841449980629491,147.57166435840628,0.49616779003267975,0.29014470477260823,,,"{""source_low_shot_index"": 0}"
0,dbe4d2cb8c0fef,procedural_proxy,useful,,0,red_square,0,red_square,0,direct_label_preservation,procedural_proxy_generator_v1,proxy candidate for red_square,prototype_gate,retain,retain,0,red_square,0.9566975905622382,47.000030080847445,0.19751838235294117,0.1898145964699137,,,"{""source_low_shot_index"": 0}"
0,7077052e70125a,procedural_proxy,label_drift,,0,red_square,1,green_circle,1,direct_label_preservation,procedural_proxy_generator_v1,proxy candidate for red_square,prototype_gate,reject,prototype_label_mismatch,3,yellow_triangle,0.8713872866545911,39.81543989446497,0.24341043709150326,0.1666810999800929,,,"{""source_low_shot_index"": 0}"
0,8b5620a674c2b4,procedural_proxy,label_drift,,0,red_square,2,blue_x,1,direct_label_preservation,procedural_proxy_generator_v1,proxy candidate for red_square,prototype_gate,reject,prototype_label_mismatch,2,blue_x,0.7352768407357706,63.87810878958023,0.25493642769607844,0.14715432565329387,,,"{""source_low_shot_index"": 0}"
0,a29e4df2f7be7d,procedural_proxy,label_drift,,0,red_square,4,purple_diamond,1,direct_label_preservation,procedural_proxy_generator_v1,proxy candidate for red_square,prototype_gate,reject,low_confidence+prototype_label_mismatch,4,purple_diamond,0.38043707823971784,69.98864255989929,0.21255106209150323,0.3068017457679473,,,"{""source_low_shot_index"": 0}"
0,f92c2051effe9d,procedural_proxy,label_drift,,0,red_square,3,yellow_triangle,1,direct_label_preservation,procedural_proxy_generator_v1,proxy candidate for red_square,prototype_gate,reject,prototype_label_mismatch,4,purple_diamond,0.7383477127713357,43.11626159894903,0.21609860089869282,0.23779747080325167,,,"{""source_low_shot_index"": 0}"
0,8d1c087608e5e6,procedural_proxy,useful,,0,red_square,0,red_square,0,direct_label_preservation,procedural_proxy_generator_v1,proxy candidate for red_square,prototype_gate,retain,retain,0,red_square,0.7864556955875583,37.57683107826139,0.13087724673202614,0.16461131427048975,,,"{""source_low_shot_index"": 0}"
0,5d7b16d1373e9c,procedural_proxy,label_drift,,0,red_square,3,yellow_triangle,1,direct_label_preservation,procedural_proxy_generator_v1,proxy candidate for red_square,prototype_gate,reject,prototype_label_mismatch,3,yellow_triangle,0.9929029292811835,23.447583329766665,0.24523335375816993,0.22988038459504329,,,"{""source_low_shot_index"": 0}"
0,f6e948e00d905d,procedural_proxy,label_drift,,0,red_square,4,purple_diamond,1,direct_label_preservation,procedural_proxy_generator_v1,proxy candidate for red_square,prototype_gate,retain,retain,0,red_square,0.5501837795836924,41.40226695521826,0.24607843137254903,0.2780878579762386,,,"{""source_low_shot_index"": 1}"
0,23380b941c40e2,procedural_proxy,label_drift,,0,red_square,3,yellow_triangle,1,direct_label_preservation,procedural_proxy_generator_v1,proxy candidate for red_square,prototype_gate,reject,prototype_label_mismatch,3,yellow_triangle,0.9786943367936588,57.38666230587131,0.25823503880718957,0.2907593523123525,,,"{""source_low_shot_index"": 1}"
0,a9e9d1c6312843,procedural_proxy,label_drift,,0,red_square,3,yellow_triangle,1,direct_label_preservation,procedural_proxy_generator_v1,proxy candidate for red_square,prototype_gate,reject,prototype_label_mismatch,3,yellow_triangle,0.8552097122058008,52.16555800646255,0.2951593137254902,0.18868069944780902,,,"{""source_low_shot_index"": 1}"
0,679a33534936ef,procedural_proxy,label_drift,,0,red_square,4,purple_diamond,1,direct_label_preservation,procedural_proxy_generator_v1,proxy candidate for red_square,prototype_gate,reject,prototype_label_mismatch,2,blue_x,0.8193223407953389,46.63796885783191,0.20640701593137256,0.2410519280121746,,,"{""source_low_shot_index"": 1}"
0,1f2b298d6cc42c,procedural_proxy,artifact,,0,red_square,0,red_square,1,direct_label_preservation,procedural_proxy_generator_v1,proxy candidate for red_square,prototype_gate,reject,low_confidence+far_from_real_prototype+prototype_label_mismatch,2,blue_x,0.41908906193295475,148.02847586432233,0.5061440461601308,0.2926701626097519,,,"{""source_low_shot_index"": 1}"
0,90a28b72156ec8,procedural_proxy,label_drift,,0,red_square,3,yellow_triangle,1,direct_label_preservation,procedural_proxy_generator_v1,proxy candidate for red_square,prototype_gate,reject,prototype_label_mismatch,3,yellow_triangle,0.9768187696533374,24.785352496835955,0.24527292687908497,0.2807986974831675,,,"{""source_low_shot_index"": 1}"
0,fb2d256336de78,procedural_proxy,label_drift,,0,red_square,3,yellow_triangle,1,direct_label_preservation,procedural_proxy_generator_v1,proxy candidate for red_square,prototype_gate,reject,prototype_label_mismatch,2,blue_x,0.5360309908210386,47.620985790212565,0.1922219669117647,0.21374451060326718,,,"{""source_low_shot_index"": 1}"
0,a75897ae4810bf,procedural_proxy,label_drift,,0,red_square,3,yellow_triangle,1,direct_label_preservation,procedural_proxy_generator_v1,proxy candidate for red_square,prototype_gate,reject,prototype_label_mismatch,3,yellow_triangle,0.9301444046841343,35.1511575155024,0.24513250612745097,0.22566806358140262,,,"{""source_low_shot_index"": 1}"
0,534a4d5cc0d49a,procedural_proxy,label_drift,,0,red_square,3,yellow_triangle,1,direct_label_preservation,procedural_proxy_generator_v1,proxy candidate for red_square,prototype_gate,reject,prototype_label_mismatch,3,yellow_triangle,0.566251411727095,43.25789133591235,0.21796364379084968,0.18568135236044694,,,"{""source_low_shot_index"": 1}"
0,41f5c0f1e1f3e7,procedural_proxy,useful,,0,red_square,0,red_square,0,direct_label_preservation,procedural_proxy_generator_v1,proxy candidate for red_square,prototype_gate,retain,retain,0,red_square,0.9731624249271158,29.448222344640374,0.18554815155228757,0.19997232204387957,,,"{""source_low_shot_index"": 1}"
0,123cab9a67e8d5,procedural_proxy,label_drift,,0,red_square,4,purple_diamond,1,direct_label_preservation,procedural_proxy_generator_v1,proxy candidate for red_square,prototype_gate,reject,prototype_label_mismatch,2,blue_x,0.8645956380129011,62.64804571591204,0.2974800857843137,0.15238364156087136,,,"{""source_low_shot_index"": 1}"
0,87c11d8c84b031,procedural_proxy,useful,,0,red_square,0,red_square,0,direct_label_preservation,procedural_proxy_generator_v1,proxy candidate for red_square,prototype_gate,reject,low_confidence+prototype_label_mismatch,2,blue_x,0.31809980576617397,50.05331694265926,0.2403658598856209,0.17141856681400927,,,"{""source_low_shot_index"": 1}"
0,a24ad5f1e5722a,procedural_proxy,label_drift,,0,red_square,3,yellow_triangle,1,direct_label_preservation,procedural_proxy_generator_v1,proxy candidate for red_square,prototype_gate,reject,prototype_label_mismatch,3,yellow_triangle,0.5739487858208066,27.74156233061817,0.15893331290849674,0.13757308024016257,,,"{""source_low_shot_index"": 1}"
