path,label,label_source,generator_id,prompt,negative_prompt,seed,sampler_name,scheduler,steps,cfg,width,height,comfy_prompt_id,comfy_filename,comfy_subfolder,comfy_type
images/red_square_000_seed20260528.png,red_square,prompt_direct,DreamShaper8_modelscope_Yntec_dreamshaper_8.safetensors,"a single centered red square icon on a plain dark neutral background, flat vector style, simple geometric shape, no text","text, watermark, signature, logo, cropped, blurry, low quality, distorted shape, multiple objects, cluttered background, photorealistic person, animal",20260528,euler,normal,16,7.0,512,512,035d43d4-2f7f-428e-a320-f2a7408d61fe,red_square_000_seed20260528_00001_.png,ivc_real_diffusion,output
images/red_square_001_seed20260529.png,red_square,prompt_direct,DreamShaper8_modelscope_Yntec_dreamshaper_8.safetensors,"a single centered red square icon on a plain dark neutral background, flat vector style, simple geometric shape, no text","text, watermark, signature, logo, cropped, blurry, low quality, distorted shape, multiple objects, cluttered background, photorealistic person, animal",20260529,euler,normal,16,7.0,512,512,7d05a99e-72db-46eb-a9a4-3fdd16eb1749,red_square_001_seed20260529_00001_.png,ivc_real_diffusion,output
images/red_square_002_seed20260530.png,red_square,prompt_direct,DreamShaper8_modelscope_Yntec_dreamshaper_8.safetensors,"a single centered red square icon on a plain dark neutral background, flat vector style, simple geometric shape, no text","text, watermark, signature, logo, cropped, blurry, low quality, distorted shape, multiple objects, cluttered background, photorealistic person, animal",20260530,euler,normal,16,7.0,512,512,33a99f09-8c98-4ade-84a6-1a99e55b978f,red_square_002_seed20260530_00001_.png,ivc_real_diffusion,output
images/red_square_003_seed20260531.png,red_square,prompt_direct,DreamShaper8_modelscope_Yntec_dreamshaper_8.safetensors,"a single centered red square icon on a plain dark neutral background, flat vector style, simple geometric shape, no text","text, watermark, signature, logo, cropped, blurry, low quality, distorted shape, multiple objects, cluttered background, photorealistic person, animal",20260531,euler,normal,16,7.0,512,512,2afadaf8-cae7-4a64-81ac-ab41584992b6,red_square_003_seed20260531_00001_.png,ivc_real_diffusion,output
images/red_square_004_seed20260532.png,red_square,prompt_direct,DreamShaper8_modelscope_Yntec_dreamshaper_8.safetensors,"a single centered red square icon on a plain dark neutral background, flat vector style, simple geometric shape, no text","text, watermark, signature, logo, cropped, blurry, low quality, distorted shape, multiple objects, cluttered background, photorealistic person, animal",20260532,euler,normal,16,7.0,512,512,a38375ee-a680-475f-a099-3587d6a8622a,red_square_004_seed20260532_00001_.png,ivc_real_diffusion,output
images/red_square_005_seed20260533.png,red_square,prompt_direct,DreamShaper8_modelscope_Yntec_dreamshaper_8.safetensors,"a single centered red square icon on a plain dark neutral background, flat vector style, simple geometric shape, no text","text, watermark, signature, logo, cropped, blurry, low quality, distorted shape, multiple objects, cluttered background, photorealistic person, animal",20260533,euler,normal,16,7.0,512,512,9b2d49b6-ccd8-49bf-b6d7-90eb0c8fcdab,red_square_005_seed20260533_00001_.png,ivc_real_diffusion,output
images/green_circle_000_seed20261528.png,green_circle,prompt_direct,DreamShaper8_modelscope_Yntec_dreamshaper_8.safetensors,"a single centered green circle icon on a plain dark neutral background, flat vector style, simple geometric shape, no text","text, watermark, signature, logo, cropped, blurry, low quality, distorted shape, multiple objects, cluttered background, photorealistic person, animal",20261528,euler,normal,16,7.0,512,512,3c6e046f-b5f2-4dcb-a792-82f2f246b89e,green_circle_000_seed20261528_00001_.png,ivc_real_diffusion,output
images/green_circle_001_seed20261529.png,green_circle,prompt_direct,DreamShaper8_modelscope_Yntec_dreamshaper_8.safetensors,"a single centered green circle icon on a plain dark neutral background, flat vector style, simple geometric shape, no text","text, watermark, signature, logo, cropped, blurry, low quality, distorted shape, multiple objects, cluttered background, photorealistic person, animal",20261529,euler,normal,16,7.0,512,512,d02ebe57-fcff-4195-bc74-aac1e7f1dca0,green_circle_001_seed20261529_00001_.png,ivc_real_diffusion,output
images/green_circle_002_seed20261530.png,green_circle,prompt_direct,DreamShaper8_modelscope_Yntec_dreamshaper_8.safetensors,"a single centered green circle icon on a plain dark neutral background, flat vector style, simple geometric shape, no text","text, watermark, signature, logo, cropped, blurry, low quality, distorted shape, multiple objects, cluttered background, photorealistic person, animal",20261530,euler,normal,16,7.0,512,512,daa0de54-457c-41c8-bb3b-eef73d314791,green_circle_002_seed20261530_00001_.png,ivc_real_diffusion,output
images/green_circle_003_seed20261531.png,green_circle,prompt_direct,DreamShaper8_modelscope_Yntec_dreamshaper_8.safetensors,"a single centered green circle icon on a plain dark neutral background, flat vector style, simple geometric shape, no text","text, watermark, signature, logo, cropped, blurry, low quality, distorted shape, multiple objects, cluttered background, photorealistic person, animal",20261531,euler,normal,16,7.0,512,512,53d42e37-4ca1-47a4-b0bc-c101eccf0fce,green_circle_003_seed20261531_00001_.png,ivc_real_diffusion,output
